"Lista de Itens para Levantamento de Inventário";;;;;;;;;
"Responsável: Tarcizio Scherer Perlin
Setor: Defensoria Pública de Giruá
Dependência: - itens sem dependência
";;;;;;;;;
"Patrimônio";"Pat. Antigo";"Descrição";"Sim";"Não";"Patrimônio";"Pat. Antigo";"Descrição";"Sim";"Não"
"000547068";"35239";"Leitor Externo Cd/Dvd Dell Dw316- Pmi";" ";" ";"000547067";"35247";"Leitor Externo Cd/Dvd Dell Dw316- Pmi";" ";" "
"000547070";"35523";"Suporte De Monitor Duplo - Dell - Pmi";" ";" ";"000547069";"35252";"Leitor Externo Cd/Dvd Dell Dw316- Pmi";" ";" "
"000547073";"30714";"Monitor Led 20 Polegadas Hp E201";" ";" ";"000547072";"33220";"Transformador 1500 Kva Ragtech - Pmi";" ";" "
"000547076";"37145";"Longarina Com Braços 3 Lugares Bordô - ";" ";" ";"000547075";"33595";"Computador Mini Dell 3020m Sp - Pmi";" ";" "
"000547078";"36494";"Monitor Lcd 21,5 Polegadas Dell ";" ";" ";"000547077";"37144";"Longarina Com Braços 3 Lugares Bordô - ";" ";" "
"000547080";"34109";"Computador Mini Dell 3020m Dp- Pmi";" ";" ";"000547079";"36497";"Monitor Lcd 21,5 Polegadas Dell ";" ";" "
"000547082";"27026";"Estante Com 15 Escaninhos";" ";" ";"000547081";"28327";"Estante Com 15 Escaninhos";" ";" "
"000547084";"28632";"Leitor Optico Ccd";" ";" ";"000547083";"27045";"Armário Baixo Com 2 Portas";" ";" "
"000547086";"31931";"Balcao De Atendimento - Ba100";" ";" ";"000547085";"31923";"Balcao De Atendimento - Ba100";" ";" "
"000547089";"33121";"Impressora Multifuncional Lexmark ";" ";" ";"000547088";"34900";"Monitor Lcd 21,5 Polegadas Dell ";" ";" "
"000547091";"14389";"Mesa Formato L 140cm";" ";" ";"000547090";"36190";"Cadeira Fixa Bordô Com Braços - Pmi";" ";" "
"000547093";"19054";"Cadeira Giratória Bordô Com Braços";" ";" ";"000547092";"14782";"Armário Alto 2 Portas - Aa1";" ";" "
"000547095";"20597";"Armário Estante Com 2 Portas";" ";" ";"000547094";"19058";"Cadeira Giratória Bordô Com Braços";" ";" "
"000547097";"14385";"Mesa Formato L 140cm";" ";" ";"000547096";"20090";"Mesa Formato L 140cm";" ";" "
"000547099";"19491";"Cadeira Fixa Bordô Sem Braços";" ";" ";"000547098";"3576";"Mesa Para Datilografia";" ";" "
"000547101";"19481";"Cadeira Fixa Bordô Sem Braços";" ";" ";"000547100";"15656";"Perfurador Para Papeis - 300 Folhas";" ";" "
"000547105";"20477";"Armário Alto 2 Portas - Aa1";" ";" ";"000547102";"3538";"Mesa De Madeira Sem Gavetas";" ";" "
"000547111";"30367";"Cadeira Giratória Bordô Com Braços";" ";" ";"000547110";"28894";"Gaveteiro Com 3 Gavetas - Gv3";" ";" "
"000547114";"36484";"Monitor Lcd 21,5 Polegadas Dell ";" ";" ";"000547112";"28938";"Gaveteiro Com 3 Gavetas - Gv3";" ";" "
"000547116";"42502";"Impressora Laser - Lexmark Ms610 Dn";" ";" ";"000547115";"42681";"Autotransformador 1000 W - Monofásico";" ";" "
"000547118";"41199";"Cadeira Giratória Bordô Com Braços - ";" ";" ";"000547117";"42162";"Refrigerador 340 Litros - 220v";" ";" "
"000551048";"23903";"Cadeira Fixa Bordô Com Braços";" ";" ";"000547947";"22024";"Cadeira Fixa Bordô Com Braços";" ";" "
"000552773";"39379";"Mesa Formato L 140 Cm - Pmi";" ";" ";"000551663";"37594";"Cadeira Fixa Bordô Com Braços - Pmi";" ";" "
"Patrimônio";"Pat. Antigo";"Descrição";"Sim";"Não";"Patrimônio";"Pat. Antigo";"Descrição";"Sim";"Não"
"000566646";"40330";"Cadeira Fixa Bordô Com Braços - Pmi";" ";" ";"000552782";"39382";"Mesa Formato L 140 Cm - Pmi";" ";" "
"000571370";"16414";"Cadeira Fixa Bordô Com Braços";" ";" ";"000568026";"40235";"Cadeira Fixa Bordô Com Braços - Pmi";" ";" "
"000571500";;"Gaveteiro Com 3 Gavetas - Gv3";" ";" ";"000571499";;"Gaveteiro Com 3 Gavetas - Gv3";" ";" "
"000571502";"43375";"Switch 24 Portas";" ";" ";"000571501";;"Gaveteiro Com 3 Gavetas - Gv3";" ";" "
"000574818";;"Computador Hp Elite Desk 800 G4 Ded";" ";" ";"000574815";;"Computador Hp Elite Desk 800 G4 Ded";" ";" "
"001292248";;"Monitor Lcd Aoc 22p1e 21,5 Polegadas";" ";" ";"000575159";;"""Monitor Lcd 23,6"""" - Aoc - M2470pwh """;" ";" "
"001296461";;"Mesa De Madeira Para Impressora - Sr10";" ";" ";"001295708";;"Cadeira Giratória Bordô Com Braços";" ";" "
"001297714";;"Armário Baixo Com 2 Portas";" ";" ";"001297620";;"Cadeira Fixa Bordô Sem Braços";" ";" "
"001298182";;"""Monitor Ips 21,5"""" Lg 22bn550y""";" ";" ";"001297728";;"Micro-Ondas 220 V";" ";" "
"001298547";;"Computador Dell Optiplex 7000 Mff";" ";" ";"001298265";;"""Monitor Ips 21,5'' Lg 22bn550y""";" ";" "
